Coin,trades_count,total_pnl,mean_pnl,win_rate,avg_size_usd
ATOM,79,88.234264,1.116889417721519,0.4430379746835443,97.03607594936709
BLUR,78,3353.129145,42.98883519230769,0.7564102564102564,2250.6310256410256
DOT,74,193.48789299999999,2.6147012567567565,0.581081081081081,2080.872837837838
UNI,61,347.766005,5.701082049180328,0.26229508196721313,728.3116393442623
BLAST,59,632.386224,10.718410576271186,0.3728813559322034,379.70593220338986
CAKE,58,1022.846751,17.63528881034483,0.3620689655172414,670.4408620689655
ZK,56,99.656693,1.7795838035714286,0.5357142857142857,62.770357142857144
IMX,53,540.2160399999999,10.192755471698112,0.5849056603773585,211.79358490566037
BIGTIME,51,1838.5441700000001,36.049885686274514,0.6274509803921569,2308.081176470588
AI,51,94.826156,1.8593363921568626,0.5490196078431373,323.35470588235296
USTC,50,346.69317,6.9338634,0.44,216.9668
FET,49,229.1654,4.6768448979591835,0.4489795918367347,2169.206530612245
STRK,48,-1517.376015,-31.6120003125,0.4375,1729.7166666666665
WCT,47,1531.72532,32.589900425531916,0.5531914893617021,1244.0189361702128
@59,46,2557.105607,55.58925232608696,0.17391304347826086,535.2723913043478
OM,43,-775.0843229999999,-18.025216813953488,0.5813953488372093,324.85930232558144
GALA,41,184.138024,4.491171317073171,0.2926829268292683,464.8195121951219
MORPHO,40,421.871013,10.546775325,0.725,1737.0965
@20,39,4.738087999999999,0.12148943589743588,0.05128205128205128,27.89589743589744
ORDI,39,99.593622,2.5536826153846155,0.48717948717948717,506.8102564102564
MATIC,38,668.931017,17.603447815789472,0.2631578947368421,6093.750789473685
YGG,37,1043.757286,28.20965637837838,0.5675675675675675,1446.854864864865
@83,36,-1087.633355,-30.212037638888887,0.0,39.6225
ARK,36,27.189288,0.755258,0.5,280.87944444444446
kSHIB,36,279.13726399999996,7.753812888888888,0.3333333333333333,2322.9769444444446
kFLOKI,35,1607.436125,45.92674642857143,0.5714285714285714,1068.0254285714286
@1,34,496.746238,14.610183470588236,0.38235294117647056,107.69676470588236
@23,34,0.0,0.0,0.0,153.49529411764706
RSR,32,165.431328,5.169729,0.6875,611.78875
SCR,32,1612.97536,50.40548,0.65625,1556.036875
INIT,31,364.5007,11.758087096774194,0.4838709677419355,1582.6409677419356
HYPER,31,874.4737,28.208829032258066,0.9354838709677419,3842.8106451612903
ZEN,30,-1475.390707,-49.17969023333333,0.26666666666666666,1272.3016666666667
TON,30,-18.09871,-0.6032903333333334,0.13333333333333333,1793.7426666666665
@125,29,370.264567,12.767743689655173,0.3103448275862069,197.63482758620688
REZ,28,163.08528,5.824474285714286,0.5,437.96250000000003
ACE,25,2760.71491,110.4285964,0.92,2890.4568
@3,23,0.462514,0.020109304347826085,0.08695652173913043,25.035217391304347
PIXEL,23,405.89459999999997,17.647591304347824,0.6956521739130435,1514.773043478261
@109,20,5414.08414,270.704207,0.7,283.533
REQ,19,4.947336,0.2603861052631579,0.6842105263157895,119.8763157894737
DYM,19,122.891343,6.467965421052632,0.3157894736842105,777.07
@14,17,0.0,0.0,0.0,49.957647058823525
@78,15,0.0,0.0,0.0,436.6913333333333
MYRO,15,53.47767,3.5651780000000004,0.8666666666666667,3148.156
POLYX,14,618.133683,44.15240592857143,0.9285714285714286,2333.535714285714
@37,13,298.859201,22.989169307692308,0.38461538461538464,142.3830769230769
AR,13,203.38219999999998,15.644784615384614,0.8461538461538461,793.0676923076923
MEW,12,32.46208,2.705173333333333,0.5833333333333334,108.77583333333332
SUPER,10,35.197902,3.5197902,0.4,129.337
BNT,10,-17.60528,-1.760528,0.2,582.841
@26,10,-0.25801799999999997,-0.025801799999999996,0.0,2.462
CANTO,10,-188.49813000000003,-18.849813000000005,0.0,2013.2280000000003
@74,9,371.633249,41.29258322222222,0.5555555555555556,42.595555555555556
@40,9,12.149683,1.3499647777777777,0.2222222222222222,45.99333333333333
@38,9,33.271993,3.6968881111111114,0.1111111111111111,59.85222222222223
@124,8,-128.603876,-16.0754845,0.0,146.635
XAI,8,1074.213807,134.276725875,0.75,8124.79
BOME,8,12.248102000000001,1.5310127500000001,0.25,164.9225
BANANA,8,-81.48518800000001,-10.185648500000001,0.0,134.815
MINA,8,198.7045,24.8380625,0.875,1530.81875
MNT,8,-21.057177,-2.632147125,0.125,167.5275
STG,7,179.54376000000002,25.649108571428574,0.7142857142857143,1532.6185714285714
IOTA,7,-2.454844,-0.350692,0.0,1785.1328571428571
@112,7,-52.114723999999995,-7.444960571428571,0.2857142857142857,108.51857142857143
@103,7,38.558036,5.508290857142858,0.5714285714285714,5.714285714285714
ALGO,7,18.36352,2.6233600000000004,0.42857142857142855,552.5157142857144
@29,6,-0.078374,-0.013062333333333334,0.0,3.955
@2,5,-0.907946,-0.1815892,0.0,199.976
@49,5,-40.712216999999995,-8.1424434,0.0,191.856
FIL,5,-35.27859,-7.055718000000001,0.0,3961.3979999999997
SHIA,5,273.568643,54.7137286,0.6,255.81199999999998
kNEIRO,5,5.319437000000001,1.0638874,0.4,176.454
ETC,5,205.04848,41.009696000000005,0.6,385.676
LOOM,5,215.057055,43.011410999999995,0.4,343.144
@147,5,-350.632694,-70.1265388,0.0,122.51200000000001
@41,5,36.73844,7.347688,0.2,7.647999999999999
@116,5,1.722949,0.3445898,0.4,2.37
@113,5,16.92622,3.385244,0.4,8.456
@53,4,67.86470700000001,16.966176750000002,0.5,17.442500000000003
@10,4,-0.063484,-0.015871,0.0,9.3275
@33,4,13.566929,3.39173225,0.5,3.795
@138,4,50.950684,12.737671,1.0,27.384999999999998
@100,4,27.627142,6.9067855,0.5,10.6675
UNIBOT,4,325.055769,81.26394225,0.5,583.3149999999999
RLB,4,75.947736,18.986934,0.5,478.7
@35,4,67.028127,16.75703175,0.5,17.075000000000003
@16,4,-0.060429,-0.01510725,0.0,8.975
@47,4,50.313458,12.5783645,0.5,12.785
@117,4,4.631689,1.15792225,0.25,3.6925
ENS,4,-7.121359999999999,-1.7803399999999998,0.0,5003.6475
@31,3,33.212273,11.070757666666667,0.3333333333333333,11.203333333333333
@12,3,0.0,0.0,0.0,2.97
@36,3,15.663073,5.221024333333333,0.3333333333333333,5.366666666666667
@24,3,-0.002936,-0.0009786666666666665,0.0,0.9033333333333333
BABY,3,98.7298,32.909933333333335,0.6666666666666666,1301.11
@9,3,-58.564889,-19.521629666666666,0.0,80.77333333333333
@46,3,0.0,0.0,0.0,0.19000000000000003
@44,3,0.0,0.0,0.0,0.25666666666666665
@13,3,-0.12379,-0.04126333333333333,0.0,17.62
@95,2,-29.438061,-14.7190305,0.0,60.39
@39,2,12.238556,6.119278,0.5,6.285
@114,2,1.309077,0.6545385,0.5,0.66
@19,2,0.0,0.0,0.0,0.405
@15,2,0.0,0.0,0.0,0.555
@34,2,0.0,0.0,0.0,0.405
@28,2,0.0,0.0,0.0,0.87
CYBER,2,191.5296,95.7648,0.5,595.855
@63,2,-20.663546,-10.331773,0.0,29.975
@93,2,15.954796,7.977398,0.5,8.165
NEIROETH,2,34.161578,17.080789,0.5,204.85000000000002
MERL,2,-3.17364,-1.58682,0.0,48.265
GAS,2,60.6139,30.30695,0.5,369.765
LISTA,2,4.46974,2.23487,0.5,997.365
MAV,2,0.0189,0.00945,0.5,10.524999999999999
PEOPLE,2,360.646005,180.3230025,0.5,680.245
@45,1,0.0,0.0,0.0,0.54
@7,1,0.0,0.0,0.0,0.03
@68,1,0.0,0.0,0.0,10.09
@61,1,0.0,0.0,0.0,0.62
@6,1,0.0,0.0,0.0,0.03
@48,1,0.0,0.0,0.0,0.68
@86,1,0.0,0.0,0.0,10.17
@11,1,0.0,0.0,0.0,0.61
@135,1,-5981.36399,-5981.36399,0.0,15.56
@21,1,0.0,0.0,0.0,0.94
@17,1,0.0,0.0,0.0,0.0
@18,1,0.0,0.0,0.0,0.46
@25,1,0.0,0.0,0.0,0.65
@30,1,0.0,0.0,0.0,0.69
